n,PowerAtSmall,PowerAtMed,PowerAtLarge
150,0.28,0.99,1
28,0.08,0.36,0.84
27,0.08,0.24,0.52
46,0.1,0.38,0.76
14,0.06,0.19,0.51
159,0.23,0.96,1
175,0.26,0.98,1
48,0.1,0.39,0.76
52,0.11,0.6,0.98
76,0.13,0.53,0.91
8,0.06,0.09,0.15
36,0.13,0.62,0.93
20,0.08,0.28,0.57
34,0.01,0.47,0.85
32,0.06,0.13,0.28
15,0.07,0.2,0.54
26,0.08,0.23,0.5
16,0.07,0.15,0.32
64,0.15,0.65,0.94
67,0.21,0.88,1
24,0.08,0.22,0.47
59,0.19,0.83,0.99
40,0.09,0.34,0.69
20,0.09,0.37,0.7
23,0.08,0.3,0.75
40,0.1,0.49,0.95
12,0.06,0.12,0.24
,,,
,,,
