,id,Author,Title,Jounral,Year,StudyName,exclude,SamplingStrategy,SampleSource,YearsStudied,TargetTest,SubfieldClassification,PowerEstimationTechnique,AmalgomationMethod,DistinguishedStatisticalTestsAppropriatly,NumberOfArticles,NumberOfTests,EffectSizeUsed,SmallEffectBenchmark,MediumEffectBenchmark,LargeEffectBenchmark,PowerAtSmallEffectMedian,FirstQuartilePowerAtSmall,ThirdQuartilePowerAtSmall,PowerAtMediumEffectMedian,FirstQuartilePowerAtMedium,ThirdQuartilePowerAtMedium,PowerAtLargeEffectMedian,FirstQuartilePowerAtLarge,ThirdQuartilePowerAtLarge,PowerAtSmallEffectMean,PowerAtMediumEffectMean,PowerAtLargeEffectMean,SDPowerAtSmall,SDPowerAtMedium,SDPowerAtLarge,SampleMedian,FirstQuartileSampleSize,ThirdQuartileSampleSize,SampleMean,SampleSizeSD,SDSmallAlgEstFromCDT,SDMedAlgEstFromCDT,SDLargeAlgEstFromCDT,Notes,Solutions,SampleMin,SampleMax,PowerSmallMin,PowerSmallMax,PowerMedMin,PowerMedMax,PowerLargeMin,PowerLargeMax
1,65,"Sindelar, Paul T., Allman, Carol, Monda, Lisa, Vail, Cynthia O., Wilson, Cynthia L. and Schloss, Patrick J.",The power of hypothesis testing in special education efficacy research,The Journal of Special Education,1988,Sindelar et al. (1988),NA,"""Carlberg and Kavale (1980) reviewed 48 studies of the efficacy of special class placement. An extensive library search yielded 44 of these 48 papers; each was examined to determine what statistical test had been used. . Those 35 studies in  which t test, analysis of variance, chi-square, or correlational analyses were used  were included in the present study. These studies are listed in Table 1, along with  the analysis, group size, and ESs for academic and social measures as reported by Carlberg and Kavale (1980).""","Applicable studies included in ""Carlberg and Kavale (1980)""",1932-1974,""" t test, analysis of variance, chi-square, or correlational analyses """,Education,"""The tables reported by Cohen (1969) were used to determine power for each measure in each study. In order to enter the tables, alpha was set at .05 and two tailed tests were assumed, regardless of the alpha level or directionality of the hypotheses used in the original study. Small, m e d i u m , and large ESs were set as recommended by Cohen at .20, .50, and .80 for t tests; .10, .25, and .40 for ANOVA; .05, .10, and .20 for chi-square; and .10, .30, and .50 for correlational analyses. With alpha and ESs set, three facts were required to enter the tables: the statistical test, the design of the study, and the group size or cell size in m o r e complex designs. For studies in which the groups had unequal A/s, an average group size was computed and used to enter the tables (Cohen, 1969).""","Power of the main test of either ""academic"" or ""social"" outcomes, if both were present, the mean power of both tests",yes,35,53,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),0.12,0.08,0.13,0.46,0.295,0.585,0.85,0.635,0.945,0.119,0.468,0.786,0.432,0.194,0.197,60,37,97.5,69.686,35.09,NA,NA,NA,NA,NA,15,150,0.06,0.23,0.11,0.86,0.22,0.99
2,103,"Cohen, Jacob",The statistical power of abnormal-social psychological research: A review,The Journal of Abnormal and Social Psychology,1962,Cohen (1962),NA,"All applicable articles in the Journal of Abnormal and Social Psychology, 1960, 61",Journal of Abnormal and Social Psychology,1960,"""t (two means arc equal), Normal (two proportions), Normal, t two r's are equal,  t (r = 0), Sign test F (k means are equal), chi square (k proportions are equal, chi square (contingency test)""",General Psychology,"""Each article was read in turn, and the nature of each statistical test performed (or implied) in the article was noted. Generally, when sample sizes (and for F tests and x2, df) were added to the standard conditions, the power of the test for small, medium, and large effect size could be read directly from the appropriate prepared tables, or by interpolation between tabled values. The statistical tests given in Table 1 are not inclusive of all used in the volume, most noteworthily, nonparametric tests based on ranks could not be studied from the point of view of power due to unavailability of systematic studies of this issue in the literature. In the relatively few instances where such tests had been used, the power was determined for the analogous parametric test, e.g., the t test for means for the Mann-Whitney U test and for the Wilcoxon matched-pairs signed-ranks test, and the F test for the Kruskal-Wallis H test and for the Friedman test (Siegel, 19S6). Note that the effect of this substitution was to slightly overestimate the power of the tests on the usual assumption that the conditions required by the parametric tests obtained. Even if this assumption is questioned, it is quite unlikely that the substitution results in an underestimation of power. In general, in the few instances where statistical tests were so described as to leave a doubt about the exact details, the doubt was resolved in favor of higher power estimates. For example, if a group of n cases was divided into two subgroups for comparison, but the subgroup sizes were not given, it was assumed they were equal, which then leads to a maximum power estimate for that value of n""","Mean power of statistical tests in each article, parametric alternatives used for non-parametric tests",yes,70,2088,Cohen 1962 (d),0.25,0.5,1,NA,0.12,0.23,0.46,0.32,0.6,NA,0.73,0.94,NA,0.48,NA,0.08,0.2,0.16,NA,NA,NA,68,55,NA,NA,NA,NA,"""Since power is a direct monotonic function of sample size, it is recommended that investigators use larger sample sizes than they customarily do. It is further recommended that research plans be routinely subjected to power analysis, using as conventions the criteria of population effect size employed in this survey.""",NA,NA,NA,NA,NA,NA,NA,NA
3,118,"Levenson, J. R. L.",NA,NA,1980,Levenson (1980),NA,"Studies of attitudes in older people published in the Gerontologist ~ ""The study examined all issues of the Gerontologist (March, 1961 through December, 1977), and the Journal of Jounral of Gerontology (January, 1946 through November, 1977).2 Because the concept of attitude has been broadly defined in the psychological literature, all articles pertaining to values, beliefs, and ""attitudes"" were included in the sample""",Jounral of Gerontology,1946-1977,"t tests, Pearson correlations, differences between correlation coefficients, chisquare, and F tests",Clinical Psychology/Psychiatry,"""As in the manner of past investigations (Chase & Tucker, 1975; Chase & Chase, 1976), significance level was set at 0.05, and all tests were considered to be two-tailed (except F and chi-square tests). Formulae to compute the power of tests were adapted from Cohen (1977), and computations utilizing small, medium, and large effect sizes were performed""",Mean power of statistical tests in each article,yes,30,NA,Cohen 1977,Cohen 1977,Cohen 1977,Cohen 1977,0.29,NA,NA,0.99,NA,NA,0.99,NA,NA,0.37,0.91,0.98,0.25,0.12,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,"perform a priori power analysis (gives a worked example, clearly implying but not directly stating this)",NA,NA,NA,NA,NA,NA,NA,NA
4,112,"Osborne, J. W.","Sweating the small stuff in educational psychology: how effect size and power reporting failed to change from 1969 to 1999, and what that means for the future of changing practices",Educational Psychology,2008,Osborne (2008),NA,"""we decided also to survey the volume three decades prior: 1969. This was seven years after the publication of Cohen’s seminal article on power, 30 years prior to the ‘current’ sample, and would allow a comparison of the long-term effects of this work (1998–1999) against the short-term effects (1969). As the Journal of Educational Psychology was the only one of the three journals that published during 1969, and at that time was the primary outlet for high-quality research in the field, it was the only journal surveyed for that time frame."" ""Articles containing no statistical analysis (e.g., qualitative, theory, or review articles) or containing statistical analyses for which there are no good methods or widely accepted methods of computing power or effect sizes (e.g., nonparametric tests, exploratory factor analysis) were excluded from this study (these were rare). All statistical tests within an article that related to central hypotheses being tested were recorded. Ancillary analyses, such as manipulation checks, and psychometric analyses of measures used, were not recorded""",Journal of Educational Psychology,1969,unclear,Education,"""Using methods described by Cohen (1988; see also Thompson, 2002b), all statistics were converted to effect sizes (d), and observed power was computed (as few authors report effect sizes and power, effect sizes were usually calculated from reported results). For tests not usually asso ciated with d for an effect size (e.g., correlation, multiple regression, chi-square), algebraic manipulations derived from Cohen (1988) were called upon to transform all other effect size indi ces to ds for comparability.4 For all tests, an a of .05 was assumed and, where appropriate, two tailed tests were assumed as well. The number of relevant effect sizes in individual articles ranged from 1 to 54. All effect sizes and power information were aggregated to the article level. Finally, to allow for comparison with other power surveys, power to detect small (d = .20), medium (d = 50), and large (d = .80) effects was calculated""","Mean power of statistical tests in each article, parametric alternatives used for non-parametric tests",unclear,55,NA,cohen 1988,cohen 1988,cohen 1988,cohen 1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.71,0.89,0.17,0.27,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,118,"Levenson, J. R. L.","Statistical Power Analysis: Implications for Researchers, Planners, and Practitioners in Gerontology",The Gerontologist,1980,Levenson (1980) ,NA,"Studies of attitudes in older people published in the Gerontologist ~ ""The study examined all issues of the Gerontologist (March, 1961 through December, 1977), and the Journal of Gerontology (January, 1946 through November, 1977).2 Because the concept of attitude has been broadly defined in the psychological literature, all articles pertaining to values, beliefs, and ""attitudes"" were included in the sample""",Gerontologist,1961-1977,"t tests, Pearson correlations, differences between correlation coefficients, chisquare, and F tests",Clinical Psychology/Psychiatry,"""As in the manner of past investigations (Chase & Tucker, 1975; Chase & Chase, 1976), significance level was set at 0.05, and all tests were considered to be two-tailed (except F and chi-square tests). Formulae to compute the power of tests were adapted from Cohen (1977), and computations utilizing small, medium, and large effect sizes were performed""",Mean power of statistical tests in each article,yes,26,NA,Cohen 1977,Cohen 1977,Cohen 1977,Cohen 1977,0.34,NA,NA,0.99,NA,NA,0.99,NA,NA,0.36,0.85,0.94,0.29,0.24,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,62,"Haase, Richard F.",Power analysis of research in counselor education,Counselor Education and Supervision,1974,Haase (1974),NA,"""A survey of research articles published in Counselor Education and Supervision from 1968 to 1971 ·(Volumes 7, 8, 9, and 10) was conducted. Of the 234 articles, 60 contained a total of 206 statistical tests of hypotheses. (Multivariate studies, e.g., factor analysis, were not included in this survey.)""",Counselor Education and Supervision,1968-1971,"Chi square, t tests, f tests",Education,"""Each of the statistical tests was power analyzed using the method and tables provided by Cohen (1969). The power of each test was calculated assuming a ""small,"" ""medium,"" and ""large"" effect. Alpha levels of .05 were assumed for all tests. Although several statistical tests may have been performed in a single article, it was assumed that they were usually done on the same sample size. For each type of test employed (chi-square, t, F), the sample size was determined. In conjunction with alpha = .05, the power was read directly from Cohen's tabled values for the appropriate statistic. Power was read for large, medium, and small effect sizes. Results of the survey and descriptive statistics are presented in Table 1""",NA,yes,60,206,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),0.095,NA,NA,0.365,NA,NA,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2628393,0.3055613,0.2776435,NA,"""What can one do to improve the power of one's research and maximize one's chances of detecting a behavioral phenomenon, if indeed one does exist (small, medium, large)? Recalling the earlier discussion of the interrelationships between power, alpha levels, sample size, and effect size, an experimenter has two options for increasing power. It should be emphasized that the options described below should be exercised before the experiment is conducted""p. 130 ... ""The easiest and most obvious option is to increase the sample size employed, but not simply for the sake of large samples. (In this context, large is relative to the power desired in the experiment.) Once an acceptable power figure has been set, an alpha level chosen, and effect size estimated, the investigator can determine the sample size needed to achieve desired power at given levels of alpha and effect size. The beauty of this option is that it places still another unknown under the control of the investigator and makes the planning of experiments even more rational. As Cohen (1969) notes, this is the only rational basis for deciding on a sample size. Incidentally, the average sample size in the present survey was 28. Obtaining an additional 10 or 20 more subjects would prove highly rewarding for the additional time and effort invested. For example, the difference in power of the t-test with 28 subjects versus that with 50 subjects is a remarkable jump from 45 percent to 70 percent, assuming a medium effect size. A second option is to increase the alpha level. In light of our previous discussion of Type I errors and the basic conservatism of science, this is not a procedure to apply indiscriminantly, particularly when an increase in number will achieve the same result without running the additional risk of Type I errors. For enlightening discussions of this point, the reader is referred to Bakan (1967) and Winer (1962)""",NA,NA,NA,NA,NA,NA,NA,NA
7,122,"Penick, J. E. and Brewer, J. K.",The power of statistical tests in science teaching research,Journal of Research in Science Teaching,1974,Penick & Brewer (1974),NA,"""A survey of all the articles in volumes 6 and 7 (1969, 1970) of the JRST followed the decision to use Cohen’s tables and metric-free values for effect size. As each article was read, note was taken of the statistical test performed, the stated level of significance and the sample size.""",Journal of Research in Science Teaching,1969-1970,"t, F, chi square, r, other",Education,"""Cohen’s tables and metric-free values for effect size. As each article was read, note was taken of the statistical test performed, the stated level of significance and the sample size. When significance of a test was claimed but no level was indicated, it was assumed that the researchers would have rejected H, at the traditional level of 0.05. With this information, the power of the test with small, medium, and large effect sizes could be read directly from Cohen’s tables or determined by interpolation between tabled values. In those cases where detailsabout a test were lacking or unclear, the issue was resolved in favor of a higher power estimate. For instance, if a sample of size Nwas broken into two groups for comparison, it was assumed that the two subgroups were equal if no other data was provided. Such an assumption leads to a maximum power estimation for that N. To give additional benefit of doubt to the researchers in estimating the power of their tests, the final compilation involved only the 554 major statistical tests that were considered in the conclusions of the articles. The remaining 313 minor tests were typically exploratory or nonparametric, or tested the significance of correlations (see Table I). The mean power of the major tests in each article at each of the three levels of effect size was determined. This power calculation allowed each article to count equally in the summary of volumes 6 and 7""",Mean power of statistical tests in each article,yes,66,867,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.71,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""1. Guarantee high power for the tests by considerablyincreasing the size of the samples. 2. Report in JRST the power of the test for several values of effect size. Then the readers would know whether to put any stock in the results, no matter how they came out. 3. Don’t be greedy when determining significance. If rejection at the .05 level is adequate protection, striving for significance at the .001 level does little more than reduce the power of the tests from 5080%. 4. If F tests are to be used, keep the number of comparison groups to a minimum since increasingthe treatment degrees of freedom reduces power substantially for fixed total sample size.""",NA,NA,NA,NA,NA,NA,NA,NA
8,113,"Brewer, James K",On the Power of Statistical Tests in the American Educational Research Journal,American Educational Research Journal,1972,Brewer (1972),NA,"""A survey of all articles in the AERJ from November 1969 to May 1971 was made. These eight issues contained eighty-five major articles (excluding reviews and comments) of which forty-seven contained at least one statistically significant test result for which power calculations could be made using Cohen's tables.""",American Educational Research Journal,1969-1971,"f tests, t tests, tests of correlations",Education,Unclear,statistical tests,unclear,85,373,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.58,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""(1) Determine reasonably high (> .80) power a priori along with a and ES, then find the minimal sample size for the study (Cohen's tables are constructed to furnish these sizes for most tests). (2) If the sample size is fixed because of financial or other practical reasons, then fix a and calculate power for several levels of ES. If for all effect sizes that are of practical importance power is still below .80, then avoid conducting the statistical test at that a until the sample can be increased. (3) Avoid the practice of taking any sample, calculating p (the probability of the statistic under H0) and then equating this value to a. The sample necessary to conduct a test of H0 with&alpha;= .05 is altogether too small to conduct the test with&alpha;= .01 for power and ES fixed.""",NA,NA,NA,NA,NA,NA,NA,NA
9,115,"Jones, B. J. and Brewer, J. K.",An Analysis of the Power of Statistical Tests Reported in the Research Quarterly,Research Quarterly,1972,Jones & Brewer (1972),NA,"""survey of major articles dating from October 1969 to May 1971 was made in regard to statistical tests used, levels of significance, the sample size, and power. It was noted that statistical inferential testing was conducted in 136 of the 151 articles""",Research Quarterly,1969-1971,t and F tests,Sport and exercise psychology,"""As each article was read, note was taken of the statistical test performed, the stated level of significance, and the sample size. When significance of a test was claimed but no level was indicated, it was assumed that the researchers would have rejected H« at the traditional level of .05. With this information, the power of the test with small, medium, and large effect sizes could be read directly from Cohen's tables or determined by interpolation between tabled values. In those cases where details about a test were lacking or unclear, the issue was resolved in favor of a higher power estimate. For instance, if a sample size of n was broken into two groups for comparison, it was assumed that the two subgroups were equal if no other data were provided. Such an assumption leads to a maximum power estimation for that n""",Power of statistical tests,NA,106,263,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1514,0.5587,0.8092,0.1015,0.295,0.2482,NA,NA,NA,NA,NA,NA,NA,NA,"Note, SDs had to be calculated manually from raw sds for the two types of tests (i.e., t tests and f tests)","""1. Guarantee higher power for the tests by increasing considerably the size of the samples for fixed a and d. 2. Report in the Research Quarterly the power of the test for several values of effect size. Then the readers would know whether to put any stock in the results - no matter how they came out. Support for this suggestion has been given by Tversky and Kahneman. An a priori calculation of power could result in the study not being conducted until large samples could be obtained. 3. Not be greedy when determining significance. If rejection at the .05 level is adequate protection, striving for significance at the .01 level does little more than reduce substantially the power of the test for fixed nand effect size. 4. If ANOVA tests are to be used, keep the number of comparison groups to a minimum, since increasing the treatment degrees of freedom reduces power considerably for fixed a, total n and effect size""",NA,NA,NA,NA,NA,NA,NA,NA
10,116,"Katzer, J. and Sodt, J.",An Analysis of the Use of Statistical Testing in Communication Research,Journal of Communication,1973,Katzer & Sodt (1973),NA,"""To answer the questions about OES and power, we analyzed all articles published in the 1971 and 1972 volumes of the Journal of Communication. Excluding book reviews, 54 articles were published in those years. Of these 31 (57%) used statistical testing.1° In each article WQ indentified the major statistical test.""",Jounral of Communication,1971-1972,t and F tests,Communication,Cohen's 1969 tables,Mean power of statistical tests in each article,yes,31,1671,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),0.15,0.08,0.27,0.55,0.31,0.82,0.91,0.79,0.99,0.23,0.56,0.79,0.21,0.29,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""we recommend that the power tables be used to determine sample size"" … ""A more useful rule-of-thumb would be that a sample size of 64 is needed in each group if the commonly used t test for independent means is to have a .80 a priori power.'"" Other statistical tests require other sample sizes, but all of them are probably higher than we were led to believe (or would like to believe)"" ... ""This information can be divided into two types, that which is decided before the data are collected, and that which depends upon the data. In the first category fall a, the power desired (or p ) , the minimal difference or effect size looked for, and the sample size needed (both total and by cell). The second category of information includes the sample size actually used (and the reason for any loss of subjects), the value of the obtained statistic (e.g. t, F, i'), the p value for that statistic, and the OES for all significant findings.""",NA,NA,NA,NA,NA,NA,NA,NA
